nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Americana,Técnico Em Segurança Do Trabalho,209,4187.78
Americana,Mecânico De Manutenção De Máquinas Têxteis,209,3794.2
Ibiúna,Trabalhador No Cultivo De Flores E Folhagens De Corte,209,1427.48
Araçatuba,Trabalhador Agropecuário Em Geral,208,1957.03
Itapetininga,Vigia,208,1807.1
Cerquilho,Operador De Máquina De Costura De Acabamento,207,1450.72
Araçoiaba da Serra,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,206,1627.2
Itapetininga,Supervisor Administrativo,206,4510.21
Itapetininga,Ajudante De Confecção,206,1136.67
Itapetininga,Operador De Empilhadeira,206,2135.88
Itu,Operador De Torno Com Comando Numérico,206,3257.52
Araçatuba,Guarda-Civil Municipal,205,2985.62
Porto Feliz,Professor De Nível Médio Na Educação Infantil,205,4496.78
Itapetininga,Enfermeiro,204,4041.31
Americana,Inspetor De Qualidade,203,3187.12
Itapetininga,Inspetor De Qualidade,203,2155.5
Araçatuba,Motorista De Furgão Ou Veículo Similar,202,2176.85
Porto Feliz,Atendente De Lojas E Mercados,202,1619.51
Itu,Motofretista,202,1959.36
Piedade,Operador De Caixa,200,1787.68
Americana,Técnico De Planejamento De Produção,200,3842.24
Itapetininga,Ajudante De Motorista,200,1539.27
Boituva,"Mecânico De Manutenção De Máquinas, Em Geral",199,3608.83
Itapetininga,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,199,1395.54
Pindamonhangaba,Eletricista De Manutenção Eletroeletrônica,198,4739.36
Boituva,Preparador De Estruturas Metálicas,198,2255.29
Pindamonhangaba,Operador De Máquinas-Ferramenta Convencionais,198,4562.68
Americana,Operador De Máquinas-Ferramenta Convencionais,198,2739.06
Araçatuba,Tratorista Agrícola,197,2413.55
Araçatuba,"Mecânico De Manutenção De Máquinas, Em Geral",195,3316.29
Americana,Estoquista,195,1726.44
Araçariguama,"Recepcionista, Em Geral",194,1657.59
Itupeva,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),194,4823.97
Itu,Atendente De Farmácia - Balconista,194,1887.55
Itu,Gerente De Loja E Supermercado,194,4059.45
Cabreúva,Inspetor De Qualidade,194,3755.4
Itu,Auxiliar De Logistica,194,1760.21
Araçatuba,Promotor De Vendas,193,1894.01
Itu,Motorista De Ônibus Urbano,192,2726.42
Itapetininga,Vigilante,192,2349.47
Itapeva,Auxiliar Nos Serviços De Alimentação,192,1333.76
Boituva,Operador De Máquina De Envasar Líquidos,191,3065.14
Itapeva,Operador De Motosserra,191,1381.56
Americana,Comprador,190,3571.28
Pindamonhangaba,Enfermeiro,190,4815.38
Araçatuba,Supervisor De Vendas Comercial,190,4049.58
Itupeva,Assistente De Vendas,190,2464.13
Americana,Montador De Instrumentos De Precisão,190,2511.68
Boituva,"Recepcionista, Em Geral",189,1845.64
Itu,Costureiro Na Confecção Em Série,189,1480.35
Itapeva,Tratorista Agrícola,189,2315.85
Boituva,Ajudante De Motorista,188,1772.31
Pindamonhangaba,"Operador De Máquinas Fixas, Em Geral",187,2035.84
Itu,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),187,1290
Macatuba,Tratorista Agrícola,186,3150.83
Itapeva,Enfermeiro,186,5857.58
Itapeva,Repositor De Mercadorias,186,1265.96
Itapetininga,Porteiro De Edifícios,185,1619.72
Americana,Farmacêutico,185,4380.91
Cabreúva,Operador De Caixa,184,1793.74
Ibiúna,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",183,3298.44
Cabreúva,Soldador Elétrico,183,2919.04
Cerquilho,Almoxarife,182,2120.99
Americana,Estampador De Tecido,182,2137.98
Pindamonhangaba,Atendente De Lanchonete,182,1350.72
Pindamonhangaba,Operador De Empilhadeira,182,3149.91
Itapetininga,Atendente De Farmácia - Balconista,182,1752.8
Araçariguama,Operador De Empilhadeira,182,2490.66
Pindamonhangaba,Operador De Torno Com Comando Numérico,181,6986.85
Itupeva,Técnico De Enfermagem,181,2206.12
Americana,Trabalhador Volante Da Agricultura,181,1858.45
Itapetininga,Operador De Trator Florestal,179,1972.63
Pindamonhangaba,Açougueiro,179,1957.73
Americana,Motorista De Ônibus Rodoviário,179,2848.62
Americana,Montador De Estruturas Metálicas,178,2469.18
Porto Feliz,Trabalhador No Cultivo De Árvores Frutíferas,178,1266.52
Porto Feliz,Porteiro De Edifícios,178,1888.05
Itapetininga,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),178,1576.82
Itu,Operador De Máquinas Operatrizes,178,2973.4
Itu,Armazenista,178,1718.64
Pindamonhangaba,Vigilante,177,2661.28
Araçatuba,Administrador,177,4867.12
